Unnamed: 0,movie_id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,imdb_id,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,keywords,release_year
1489,68,Brazil,7.673,3026,Released,1985-02-20,9900000.0,143.0,0,15000000.0,tt0088846,en,Brazil,"Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.",21.313,It's only a state of mind.,"Comedy, Science Fiction",Embassy International Pictures,"United Kingdom, United States of America",English,"dream, government, bureaucracy, police state, great britain, technology, dystopia, office, dark comedy, satire, surrealism, steampunk, terrorism, bombing, job promotion, repairman, christmas",1985.0
1490,1966,Alexander,5.911,3024,Released,2004-11-21,167298192.0,175.0,0,155000000.0,tt0346491,en,Alexander,"Alexander, the King of Macedonia, leads his legions against the giant Persian Empire. After defeating the Persians, he leads his army across the then known world, venturing farther than any westerner had ever gone, all the way to India.",22.681,The greatest legend of all was real,"War, History, Action, Adventure, Drama, Romance","Warner Bros. Pictures, WR Universal Group, France 3 Cinéma, Intermedia Films, Pathé Renn Productions, Egmond Film & Television, Pacifica Film, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG, Summit Entertainment, Santa International Film Productions, Dune Films, India Take One Productions","France, Germany, India, Italy, Morocco, Netherlands, Thailand, United Kingdom, United States of America",English,"epic, egypt, elephant, aristotle, persia, greece, emperor, campaign, alexander the great, sword fight, royalty, male homosexuality, ancient world, lgbt, ancient greece, epic battle, historical drama, action hero, 4th century bc, gay theme",2004.0
1491,9475,Scent of a Woman,7.767,3024,Released,1992-12-23,134095253.0,156.0,0,31000000.0,tt0105323,en,Scent of a Woman,"Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family.",23.655,Col. Frank Slade has a very special plan for the weekend.,Drama,"Universal Pictures, City Light Films",United States of America,English,"new york city, blindness and impaired vision, boarding school, tango, thanksgiving, colonel, prank, blind, tears, new england, change of heart, preparatory school, ex military, blind man",1992.0
1492,62214,Frankenweenie,6.944,3024,Released,2012-10-04,81493846.0,87.0,0,39000000.0,tt1142977,en,Frankenweenie,"When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them that Sparky's still the good, loyal friend he was.",28.901,The electrifying dog is back from beyond the grave,"Animation, Comedy, Family",Tim Burton Productions,United States of America,English,"shyness, stop motion, retro, dog, animal death, animal lover",2012.0
1493,37247,The Graduate,7.649,3023,Released,1967-12-21,104945305.0,106.0,0,3000000.0,tt0061722,en,The Graduate,"Benjamin, a recent college graduate very worried about his future, finds himself in a love triangle with an older woman and her daughter.",20.369,This is Benjamin. He’s a little worried about his future.,"Comedy, Drama, Romance","Lawrence Turman Films, Inc., AVCO Embassy Pictures",United States of America,English,"love triangle, seduction, college, older woman seduces younger guy, romance, coming of age, los angeles, california, wedding, older woman younger man relationship, graduate, rape accusation, mother seduces daughter's fiancee",1967.0
1494,458576,Monster Hunter,6.647,3023,Released,2020-12-03,42145959.0,104.0,0,60000000.0,tt6475714,en,Monster Hunter,"A portal transports Cpt. Artemis and an elite unit of soldiers to a strange world where powerful monsters rule with deadly ferocity. Faced with relentless danger, the team encounters a mysterious hunter who may be their only hope to find a way home.",40.804,"Behind our world, there is another.","Action, Fantasy, Adventure","CAPCOM, Constantin Film, Impact Pictures, Tencent Pictures, TOHO","China, Germany, Japan, United Kingdom",English,"giant monster, female soldier, another dimension, bow and arrow, based on video game, swordswoman, dimensional travel, egotistical, antagonistic",2020.0
1495,1620,Hitman,6.085,3023,Released,2007-11-21,99965753.0,89.0,0,24000000.0,tt0465494,en,Hitman,"A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",29.882,Most believe his very existence is a sin. But others know he is a necessary evil.,"Action, Thriller, Drama","Anka Film, Daybreak Productions, Dune Entertainment, Prime Universe Productions, EuropaCorp, 20th Century Fox","France, United States of America","English, Russian, Serbian","assassin, government, hitman, secret identity, intelligence, soviet union, celibacy, secret society, power takeover, adversary, execution, killer, based on video game, doppelgänger, secret formula, action hero",2007.0
1496,11130,The Princess Diaries 2: Royal Engagement,6.68,3020,Released,2004-08-06,134734481.0,113.0,0,40000000.0,tt0368933,en,The Princess Diaries 2: Royal Engagement,"Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle, archery, and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected...",28.943,It can take a lifetime to find true love; she's got 30 days!,"Comedy, Drama, Family, Romance","BrownHouse Productions, Walt Disney Pictures",United States of America,English,"coronation, marriage, duty, falling in love",2004.0
1497,9323,Ghost in the Shell,7.927,3009,Released,1995-11-18,515905.0,82.0,0,3000000.0,tt0113568,ja,GHOST IN THE SHELL,"In the year 2029, the barriers of our world have been broken down by the net and by cybernetics, but this brings new vulnerability to humans in the form of brain-hacking. When a highly-wanted hacker known as 'The Puppetmaster' begins involving them in politics, Section 9, a group of cybernetically enhanced cops, are called in to investigate and stop the Puppetmaster.",37.693,It found a voice... Now it needs a body.,"Action, Animation, Science Fiction","Bandai Visual, Production I.G, Kodansha, Manga Entertainment","Japan, United Kingdom",Japanese,"android, man vs machine, artificial intelligence (a.i.), computer virus, cyborg, dystopia, implantat, fugitive, female protagonist, cyberpunk, based on manga, adult animation, tech noir, anime",1995.0
1498,9032,Big Daddy,6.46,3007,Released,1999-06-25,234801895.0,93.0,0,34200000.0,tt0142342,en,Big Daddy,"A lazy law school grad adopts a kid to impress his girlfriend, but everything doesn't go as planned and he becomes the unlikely foster father.",21.776,Nature called. Look who answered.,"Comedy, Drama",Columbia Pictures,United States of America,"English, Italian","bachelor, vomit, syracuse university, law school, politically incorrect, young boy, wetting pants, central park, public urination, child's point of view, responsibility, immaturity",1999.0
1499,212778,Chef,7.121,3004,Released,2014-05-08,45967935.0,114.0,0,11000000.0,tt2883512,en,Chef,"When Chef Carl Casper suddenly quits his job at a prominent Los Angeles restaurant after refusing to compromise his creative integrity for its controlling owner, he is left to figure out what's next. Finding himself in Miami, he teams up with his ex-wife, his friend and his son to launch a food truck. Taking to the road, Chef Carl goes back to his roots to reignite his passion for the kitchen -- and zest for life and love.",20.584,Starting from scratch never tasted so good.,Comedy,"Altus Media, Fairview Entertainment, Prescience",United States of America,"English, Spanish","parent child relationship, restaurant owner, road trip, food, chef, ex-husband ex-wife relationship, twitter, social media, duringcreditsstinger, food truck, gastronomia",2014.0
1500,11247,A Cinderella Story,6.5,3004,Released,2004-07-16,70067909.0,95.0,0,19000000.0,tt0356470,en,A Cinderella Story,"Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.",26.336,Once upon a time... can happen any time.,"Comedy, Family, Romance","Dylan Sellers Productions, Gaylord Films, Clifford Werber Productions, Warner Bros. Pictures","Canada, United States of America","Czech, English, German","high school, work, jealousy, american football, stepmother, school party, orphan, disguise, teenage romance, stepsister, modern fairy tale",2004.0
1501,6795,Zathura: A Space Adventure,6.409,3002,Released,2005-11-06,65079104.0,101.0,0,65000000.0,tt0406375,en,Zathura: A Space Adventure,"After their father is called into work, two young boys, Walter and Danny, are left in the care of their teenage sister, Lisa, and told they must stay inside. Walter and Danny, who anticipate a boring day, are shocked when they begin playing Zathura, a space-themed board game, which they realize has mystical powers when their house is shot into space. With the help of an astronaut, the boys attempt to return home.",23.535,Adventure Is Waiting,"Science Fiction, Adventure, Family","Teitler Film, Michael De Luca Productions, Columbia Pictures, Radar Pictures",United States of America,English,"based on novel or book, killer robot, house, time travel, giant lizard, alien, space, board game, astronaut, alternate reality, brother brother relationship",2005.0
